iter	Passed	Remaining
0	1	141
1	2	137
2	4	133
3	5	121
4	6	120
5	7	118
6	8	116
7	10	115
8	11	113
9	12	112
10	13	110
11	14	108
12	15	106
13	17	105
14	18	104
15	19	102
16	20	101
17	22	100
18	23	99
19	24	97
20	25	95
21	26	94
22	27	93
23	29	92
24	30	90
25	31	89
26	32	88
27	34	87
28	35	86
29	36	84
30	37	83
31	38	82
32	39	81
33	41	79
34	42	78
35	43	77
36	44	76
37	45	74
38	46	73
39	48	72
40	49	71
41	49	69
42	51	67
43	52	66
44	53	65
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	65	53
55	66	51
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	85	33
72	86	31
73	87	30
74	88	29
75	90	28
76	91	27
77	92	26
78	94	24
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	101	17
85	102	16
86	104	15
87	105	14
88	106	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
